                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   4.08,                  5.211,                 4.1884,                0.00012,                0.01223,                  6e-05,                  2e-05,                 3.9735,                 4.6068,                 4.1477,             0.00054384,             0.00054384,             0.00054384
                      2,                 3.1828,                 4.2991,                 3.4264,                0.00023,                 0.0197,                0.00012,                  3e-05,                 4.1435,                 4.6284,                 4.3377,              0.0010941,              0.0010941,              0.0010941
                      3,                 2.6538,                 3.4771,                 2.6744,                0.08668,                0.13885,                0.04617,                0.01767,                 2.4314,                 5.9009,                 2.7369,              0.0016388,              0.0016388,              0.0016388
                      4,                 2.4126,                 2.9179,                 2.3837,                0.28066,                0.30806,                0.21375,                0.09092,                 2.0669,                 4.6292,                 2.3458,              0.0016422,              0.0016422,              0.0016422
                      5,                  2.184,                 2.5469,                 2.1544,                0.46296,                0.33535,                0.29395,                0.14001,                  1.865,                 2.8102,                 2.1856,              0.0016422,              0.0016422,              0.0016422
                      6,                 2.1072,                 2.2882,                 2.0521,                0.38925,                0.44638,                0.32752,                0.15139,                 1.8477,                 2.4199,                  2.009,               0.001634,               0.001634,               0.001634
                      7,                 1.9679,                 2.0501,                 1.9444,                0.37047,                0.43896,                0.33237,                0.15741,                 1.7428,                  2.295,                 1.9279,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.9703,                 1.9905,                 1.9047,                0.50482,                0.51313,                0.50585,                0.27107,                 1.6189,                 2.1029,                 1.8149,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.9216,                 1.9384,                 1.8614,                0.47106,                0.55191,                0.50409,                0.24947,                 1.6342,                 1.6765,                 1.8022,              0.0016092,              0.0016092,              0.0016092
                     10,                  1.847,                 1.7921,                 1.7852,                0.56417,                0.56755,                0.54682,                0.29327,                 1.5976,                 1.6003,                 1.7792,               0.001601,               0.001601,               0.001601
                     11,                  1.795,                 1.6482,                 1.7339,                0.58246,                0.55985,                0.55845,                0.30638,                 1.5593,                 1.5217,                 1.7362,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.7957,                 1.6633,                 1.7353,                0.56869,                0.60223,                0.59143,                0.32713,                 1.5361,                 1.4343,                 1.7096,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.7895,                 1.5969,                 1.6954,                0.63699,                0.61643,                0.63632,                0.35495,                 1.5081,                  1.359,                 1.6681,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.7111,                 1.5827,                 1.6698,                0.65072,                0.58415,                0.63822,                0.36581,                 1.5007,                 1.3242,                 1.6862,               0.001568,               0.001568,               0.001568
                     15,                 1.6803,                 1.4953,                 1.6722,                0.63503,                0.62095,                0.63586,                0.35928,                 1.5142,                 1.3003,                 1.7061,              0.0015597,              0.0015597,              0.0015597
                     16,                  1.683,                 1.4834,                 1.6326,                0.60625,                0.68137,                0.65495,                0.38285,                   1.44,                 1.2522,                 1.6288,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.6625,                 1.4542,                 1.6478,                0.58087,                0.68782,                0.68134,                0.38206,                 1.4607,                 1.2905,                 1.6466,              0.0015432,              0.0015432,              0.0015432
                     18,                  1.629,                 1.3908,                  1.606,                0.63694,                0.68648,                0.68441,                0.39276,                 1.4368,                 1.2067,                 1.6273,               0.001535,               0.001535,               0.001535
